Folder Path,Image 1,Image 2,Sort Order,Proposed Front,Proposed Back,Proposal Basis
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Single Script Art Red / CM-PR-13,CM-PR-13 Front.webp,CM-PR-13.webp,alphabetical (numeric-aware),CM-PR-13 Front.webp,CM-PR-13.webp,"""CM-PR-13 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Single Script Art Red / CM-PR-22,CM-PR-22 Front.webp,CM-PR-22.webp,alphabetical (numeric-aware),CM-PR-22 Front.webp,CM-PR-22.webp,"""CM-PR-22 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-01,PMR-IO-01 Front.webp,PMR-IO-01.webp,alphabetical (numeric-aware),PMR-IO-01 Front.webp,PMR-IO-01.webp,"""PMR-IO-01 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-06,PMR-IO-06 BACK.webp,PMR-IO-06.webp,alphabetical (numeric-aware),PMR-IO-06.webp,PMR-IO-06 BACK.webp,"""PMR-IO-06 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-08,PMR-IO-08 BACK.webp,PMR-IO-08.webp,alphabetical (numeric-aware),PMR-IO-08.webp,PMR-IO-08 BACK.webp,"""PMR-IO-08 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-11,PMR-IO-11 BACK.webp,PMR-IO-11.webp,alphabetical (numeric-aware),PMR-IO-11.webp,PMR-IO-11 BACK.webp,"""PMR-IO-11 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-12,PMR-IO-12 BACK.webp,PMR-IO-12.webp,alphabetical (numeric-aware),PMR-IO-12.webp,PMR-IO-12 BACK.webp,"""PMR-IO-12 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-13,PMR-IO-13 BACK.webp,PMR-IO-13.webp,alphabetical (numeric-aware),PMR-IO-13.webp,PMR-IO-13 BACK.webp,"""PMR-IO-13 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-15,PMR-IO-15 BACK.webp,PMR-IO-15.webp,alphabetical (numeric-aware),PMR-IO-15.webp,PMR-IO-15 BACK.webp,"""PMR-IO-15 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-17,PMR-IO-17 BACK.webp,PMR-IO-17.webp,alphabetical (numeric-aware),PMR-IO-17.webp,PMR-IO-17 BACK.webp,"""PMR-IO-17 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-21,PMR-IO-21 Back.webp,PMR-IO-21.webp,alphabetical (numeric-aware),PMR-IO-21.webp,PMR-IO-21 Back.webp,"""PMR-IO-21 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-23,PMR-IO-23 BACK.webp,PMR-IO-23.webp,alphabetical (numeric-aware),PMR-IO-23.webp,PMR-IO-23 BACK.webp,"""PMR-IO-23 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-24,PMR-IO-24 BACK.webp,PMR-IO-24.webp,alphabetical (numeric-aware),PMR-IO-24.webp,PMR-IO-24 BACK.webp,"""PMR-IO-24 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-26,PMR-IO-26 Front.webp,PMR-IO-26.webp,alphabetical (numeric-aware),PMR-IO-26 Front.webp,PMR-IO-26.webp,"""PMR-IO-26 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-27,PMR-IO-27 Back.webp,PMR-IO-27.webp,alphabetical (numeric-aware),PMR-IO-27.webp,PMR-IO-27 Back.webp,"""PMR-IO-27 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-29,PMR-IO-29 BACK.webp,PMR-IO-29.webp,alphabetical (numeric-aware),PMR-IO-29.webp,PMR-IO-29 BACK.webp,"""PMR-IO-29 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-32,PMR-IO-32 BACK.webp,PMR-IO-32.webp,alphabetical (numeric-aware),PMR-IO-32.webp,PMR-IO-32 BACK.webp,"""PMR-IO-32 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Orange / PMR-IO-37,PMR-IO-37 BACK.webp,PMR-IO-37.webp,alphabetical (numeric-aware),PMR-IO-37.webp,PMR-IO-37 BACK.webp,"""PMR-IO-37 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Purple / PMR-IP-01,PMR-IP-01.webp,PMR-IP-O1 RONT.webp,alphabetical (numeric-aware),PMR-IP-01.webp,PMR-IP-O1 RONT.webp,sort order (no filename markers)
